packet_num,hex_data
116,02 3c 00 01 9e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
117,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
118,00 00 00 df 02 27 00 88 02 1a 00 49 02 15 00 08 02 17 00 c7
119,01 24 00 01 c4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
120,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
121,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
122,00 00 00 98 01 31 00 99 01 32 00 6e 01 4b 00 3d 01 70 00 42
123,01 8d 00 01 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
124,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
125,a5 10 06 09 00 00 00 00 00 00 00 24 fc 02 12 52 01 6a 00 00
126,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
127,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
128,00 00 00 16 02 15 01 51 02 ed 00 9f 02 c2 00 cf 02 a7 00 fe
129,02 8b 00 01 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
130,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
131,a5 1d 3a 64 00 24 9f 02 23 d3 03 0b 0d 00 df 0f 01 0e 0f 01
132,03 01 0f 01 39 3b 00 1d 00 01 d9 00 00 00 00 00 00 00 00 00
133,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
134,00 00 00 1d 03 6e 00 28 03 54 00 e5 02 40 00 b6 02 2c 00 5e
135,02 22 00 01 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
136,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
137,a5 0e 06 0a 00 00 00 00 00 00 00 24 ea 02 01 df 00 00 00 00
138,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
139,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
140,a5 1d 3a 6a 00 24 94 02 23 a5 02 0b 0f 00 df 2a 01 0e 2a 01
141,10 01 2a 01 39 3a 00 1d 00 01 ae 00 00 00 00 00 00 00 00 00
142,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
143,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
144,00 00 00 cf 02 a7 00 01 03 91 00 20 03 79 00 2a 03 5f 00 10
145,03 4a 00 01 4b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
146,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
147,a5 0e 06 0b 00 00 00 00 00 00 00 24 d6 02 01 f2 00 00 00 00
148,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
149,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
150,00 00 00 83 01 3b 00 56 01 4d 00 41 01 5a 00 34 01 6a 00 32
151,01 83 00 01 89 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
152,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
153,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
154,00 00 00 39 01 9d 00 5b 01 ba 00 7c 01 e1 00 b1 01 f6 00 d0
155,01 13 01 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
156,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
157,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
158,00 00 00 21 02 fe 00 61 02 e8 00 9f 02 c2 00 cf 02 a7 00 fe
159,02 8b 00 01 0b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
160,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
161,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
162,00 00 00 30 03 6e 00 28 03 54 00 e5 02 40 00 b6 02 2c 00 5e
163,02 22 00 01 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
164,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
165,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
166,00 00 00 08 02 24 00 da 01 25 00 b0 01 2b 00 81 01 39 00 6b
167,01 42 00 01 6a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
168,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
169,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
170,00 00 00 57 01 50 00 5d 01 56 00 45 01 79 00 4d 01 98 00 5f
171,01 be 00 01 be 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
172,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
173,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
174,00 00 00 8f 01 df 00 a9 01 0c 01 e1 01 13 01 21 02 fe 00 5f
175,02 e0 00 01 5f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
176,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
177,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
178,00 00 00 9d 02 bc 00 cd 02 a0 00 fc 02 85 00 09 03 6d 00 00
179,03 53 00 01 c1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
180,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
181,a5 23 06 0d 00 00 00 00 00 00 00 3a 68 00 24 c4 02 0b 12 00
182,0d 01 00 0e 2c 01 1b 01 2d 01 39 3a 00 1c 00 01 21 00 00 00
183,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
184,00 00 00 e4 02 3c 00 b5 02 28 00 72 02 1c 00 1e 02 1a 00 f1
185,01 1d 00 01 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
186,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
187,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
188,00 00 00 c7 01 22 00 98 01 2f 00 81 01 39 00 57 01 52 00 4d
189,01 64 00 01 14 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
190,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
191,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
192,00 00 00 3b 01 87 00 2a 01 bd 00 5c 01 d5 00 70 01 0a 01 ad
193,01 14 01 01 c1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
194,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
195,00 00 00 f0 01 0b 01 23 02 07 01 5f 02 e0 00 af 02 b9 00 e0
196,02 9f 00 01 87 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
197,a5 23 06 0e 00 00 00 00 00 00 00 24 c0 02 23 a8 02 11 53 00
198,0b 13 00 0e 29 01 1d 01 2d 01 39 39 00 1b 00 01 a5 00 00 00
199,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
200,00 00 00 fc 02 85 00 1d 03 6e 00 ed 02 59 00 e5 02 40 00 b6
201,02 2c 00 01 79 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
202,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
203,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
204,00 00 00 73 02 1f 00 08 02 21 00 f1 01 1d 00 c7 01 22 00 b0
205,01 27 00 01 4d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
206,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
207,00 00 00 81 01 39 00 6c 01 46 00 71 01 4d 00 5b 01 72 00 62
208,01 92 00 01 ed 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
